sentence,spoiler,verb,page,trope,num_present
saw surgery,False,True,absolutely,comic miss point,False
repeat rare bbc 4 now show occasion episode,False,True,adamadamantlives,avengers.html,True
code chivalri bad romant past adam consist avoid advanc women time interest someon work villain episode,False,True,adamadamantlives,celib hero,False
adam drive mini cooper s fair humdrum compact car expens remodel interior,False,True,adamadamantlives,cool car,False
later discov face frozen adam,False,True,adamadamantlives,human popsicl,False
andromeda though work conjuct comput rather download head,False,True,aforandromeda,wetwar bodi,False
azaran newlyindepend middl eastern countri hope use comput resolv agricultur problems,False,True,aforandromeda,qurac,False
state terms andromeda offer fleming,False,True,aforandromeda,can rule togeth,False
show spinoff  alf tale  charact anim actor perform modern version classic stori ,False,True,alf,fun acronym,False
also comic book adapt tend play sitcom aspect favor give strang technolog toys seem inspir anim adapt origin sitcom fact often includ stori set melmac usual frame stori alf tell tanner life home planet,False,True,alf,fun acronym,False
alf smart enough crack wise tanners bother put pair pants,False,True,alf,expos extraterrestri,False
basic comic version et,False,True,alf,follow leader,False
 bring spotlight breed like pit bull general seen show sole fight dog naturally,False,True,animalplanetheroes,never live,False
jay mariotti regular panelist sinc show beginning appear sinc august 2010 domest violenc arrest  espn made clear realli interest bring back,False,True,aroundthehorn,troperiff,True
 translat wtf,False,True,aroundthehorn,catch phrase,False
extrem example see exampl list aesop amnesia ,False,True,aroundthehorn,continu nod,False
macmullan actual highest win percentag regular panelist but will joke play sexism card elimin first,False,True,aroundthehorn,token girl,False
trope featur series alaska start season 4 papac alaska log oper island southeast alaska,False,True,axmen,realiti t v,True
sever fatherson team seri play straight time time,False,True,axmen,well done son guy,False
end show occas shown invari complimentari comments,False,True,barefootcontessa,cook show,False
eight episod long two episod first series,False,True,beinghuman,b b c,False
cognit disson upon find anthoni signific wire blood fans,True,True,beinghuman,actor allus,False
seri 3 reveal similar thing go wale well,False,True,beinghuman,alien cardiff,True
fourth series three four main charact dead,True,True,beinghuman,anyon can die,False
technic four sinc anni dead show began,True,True,beinghuman,anyon can die,False
end seri four anni move on truli dead now,True,True,beinghuman,anyon can die,False
anni disintegrated tom commit suicid dogfight hal one vampir great command complet monster ,True,True,beinghuman,bad futur,False
brutal subvert herrick nina ,True,True,beinghuman,nice,False
point realli want make georg suffer payback rip herrick limb limb seri 1 invok trope reason go spare prompt leaves,True,True,beinghuman,nice,True
door even stop swing shut come back in theyd say go soft prompt shiv back,True,True,beinghuman,nice,False
instance worked began exhibit mild tourett issu control anger humanform,False,True,beinghuman,bewar nice one,False
unusu trope work bigger bad  vampir old one  vast differ way competit other,True,True,beinghuman,big bad ensembl,False
end episod 3 though fergus kill hal ,True,True,beinghuman,big bad ensembl,True
perhap better exampl fact current two seeminglyunconnect parti kill eve old ones repres cutler fergus sinc countri yet want destroy girl prophesi kill all unidentifi woman future repres kirbi sinc appar stuck afterlife know someth noon els mean babi die,True,True,beinghuman,big bad ensembl,False
get close victims becom almost part family can kill later make sure orphan child first kill them,True,True,beinghuman,bitch sheep cloth,False
happen vampir enter uninvit ,True,True,beinghuman,bodi horror,False
believ him still goe away ,True,True,beinghuman,break heart save,False
tulli reveal kill professor jaggat experiments daisi reveal kill mcnair nina seri 3 4 kill vampir  well wyndham appar kill reveng georg ,True,True,beinghuman,bus crash,True
 lauren stake seth chest allow george mitchel anni escap well stare tit speak more,True,True,beinghuman,casual danger dialog,False
annie realli angri got kemp,True,True,beinghuman,celesti bureaucraci,False
said form that,True,True,beinghuman,celesti bureaucraci,False
quit import second episode,False,True,beinghuman,chekhov gunman,False
far seri 4 seem inject comedi back proceedings,False,True,beinghuman,darker edgier,True
georg leav letter daughter believ die grow up,True,True,beinghuman,dead man write,False
mitchel turn back vampir lauren turn vampire attack one colleagues,False,True,beinghuman,defector decad,False
mitchel reach regard human find luci behind bombing,True,True,beinghuman,despair event horizon,False
end season three realis never abl stop killing demand georg kill him,True,True,beinghuman,despair event horizon,False
hal push cutler past trick drink wife blood ,True,True,beinghuman,despair event horizon,False
happened cutler may evil,True,True,beinghuman,despair event horizon,False
